"gold-link,""gold-link href"",""result-id"",""source"",""reporter"",""reporter 2"",""duration""";;;;;
"Schools / Violent Teens / Secret Service Report,""https://tvnews.vanderbilt.edu/broadcasts/632103"",""#632103"",""NBC Evening News for 2000-10-14"",""Seigenthaler, John";" Williams, Pete"",""Reporter(s):"",""00:02:40""";;;;
"Little, Colorado / Columbine High School Shootings / Essay,""https://tvnews.vanderbilt.edu/broadcasts/189940"",""#189940"",""ABC Evening News for 2000-11-06"",""Jennings, Peter"",""Reporter(s):"",""00:00:20""";;;;;
"Boston, Massachusetts / Office Shooting,""https://tvnews.vanderbilt.edu/broadcasts/190263"",""#190263"",""ABC Evening News for 2000-12-26"",""Brown, Aaron";" Dean, Morton"",""Reporter(s):"",""00:02:50""";;;;
"Boston, Massachusetts / Office Massacre,""https://tvnews.vanderbilt.edu/broadcasts/391584"",""#391584"",""CBS Evening News for 2000-12-26"",""Pinkston, Randall";" Roberts, John"",""Reporter(s):"",""00:03:00""";;;;
"Boston, Massachusetts / Office Shooting Rampage,""https://tvnews.vanderbilt.edu/broadcasts/190286"",""#190286"",""ABC Evening News for 2000-12-27"",""Brown, Aaron";" Dean, Morton"",""Reporter(s):"",""00:02:40""";;;;
"Boston, Massachusetts / Office Shooting / McDermott,""https://tvnews.vanderbilt.edu/broadcasts/391602"",""#391602"",""CBS Evening News for 2000-12-27"",""Kofman, Jeffrey"; Pinkston, Randall;" Roberts, John"",""Reporter(s):"",""00:04:50""";;;
"Melrose Park, Illinois / Workplace Shooting,""https://tvnews.vanderbilt.edu/broadcasts/637439"",""#637439"",""NBC Evening News for 2001-02-05"",""Avila, Jim"; Brokaw, Tom;" Williams, Pete"",""Reporter(s):"",""00:04:40""";;;
"Eye On America (School Shootings: Epidemic and Prevention),""https://tvnews.vanderbilt.edu/broadcasts/397449"",""#397449"",""CBS Evening News for 2001-03-05"",""Pitts, Byron";" Rather, Dan"",""Reporter(s):"",""00:02:20""";;;;
"Santee, California / School Shooting,""https://tvnews.vanderbilt.edu/broadcasts/637920"",""#637920"",""NBC Evening News for 2001-03-05"",""Brokaw, Tom";" Reid, Chip"",""Reporter(s):"",""00:02:20""";;;;
"Santee, California / School Shooting,""https://tvnews.vanderbilt.edu/broadcasts/196338"",""#196338"",""ABC Evening News for 2001-03-06"",""Jennings, Peter"; Norris, Michele;" Rooney, Brian"",""Reporter(s):"",""00:04:50""";;;
